SnomedCTConceptId	Description	2019-2020	2020-2021
44054006	Maturity onset diabetes	523.6372554	559.347406
170777000	Diabetic annual review	498.1845363	519.5851935
394671009	On examination - Right diabetic foot at low risk	423.8728886	469.9622716
394675000	On examination - Left diabetic foot at low risk	423.5354957	468.9742046
134395001	Diabetic retinopathy screening	266.8147697	259.4540923
170742000	Diabetes management plan given	260.0583908	211.0437982
185229005	Seen in diabetic clinic	170.8264774	162.3939726
703040004	Diabetes care plan agreed	130.8863098	144.8399805
170746002	Diabetic on oral treatment	132.4386581	127.6286513
170774007	Diabetes: practice program	101.604692	126.3311895
185756006	Diabetes monitoring 1st letter	145.8406556	117.1258647
858301000000107	Pre-diabetes (disorder)	158.8149478	99.22588275
401191002	Diabetic foot examination	62.41939844	91.12506385
390850007	O/E - no right diabetic retinopathy	96.29160511	89.44002698
390853009	O/E - no left diabetic retinopathy	96.20981288	89.1888517
170744004	Follow-up diabetic assessment	71.3841675	87.62524394
700449008	Non-diabetic hyperglycemia (disorder)	54.69173685	82.35887995
313340009	Seen in diabetic eye clinic	74.76661695	80.26464361
754081000000109	Diabetic dietary review	205.3581339	79.45456172
754121000000107	Type 2 diabetic dietary review	151.8557924	67.25343099
811981000000102	Diabetes self-management plan agreed	131.692304	65.91937416
394682001	On examination - Right diabetic foot at moderate risk	65.03163775	65.684833
394681008	On examination - Left diabetic foot at moderate risk	64.91746943	65.49520397
279321000000104	Diabetes type II review	81.88594885	62.88863658
306591000000103	Diabetes structured education programme declined	116.6289019	53.28575619
46635009	Type 1 diabetes mellitus	48.10575844	51.22146127
269823000	Hb. A1C - diabetic control	30.79647807	50.83554957
705072004	Diabetes monitor invitation by SMS (short message service)	41.73107663	49.96891165
408410002	On examination - left eye background diabetic retinopathy	35.22689045	45.99002894
408409007	On examination - right eye background diabetic retinopathy	35.30868268	45.82368769
73211009	Insulin dependent diabetes maturity onset	42.60011906	44.81233289
170745003	Diet controlled diabetes mellitus	43.65830601	41.08628887
923361000000106	Diabetic foot care education	12.05072168	39.03031102
367011000000100	Diabetic foot screen	88.47874327	37.98568797
394725008	Diabetes medication review	44.30923583	37.91748805
170763003	Diabetic - good control	34.04942316	37.87922957
198501000000100	Diabetic 6 month review	95.51117093	37.76611751
415270003	Referral to diabetes structured education program	38.82574851	37.42511795
887861000000105	Diabetes Year of Care annual review	41.25054728	32.52137789
268519009	Diabetes mellitus uncontrolled	21.31880358	29.82664963
170747006	Diabetic on insulin	31.69960059	28.74709491
185757002	Diabetes monitoring 2nd letter	46.9828193	26.59630254
284350006	[V]Dietary counselling in diabetes mellitus	30.81181411	25.97751309
199301000000100	Did not attend diabetic retinopathy clinic	50.94122237	25.66312813
713671000000109	Diabetes monitoring admin.	62.89651978	24.79316339
390834004	BDR - Background diabetic retinopathy	21.52669216	23.68865748
700414001	Advice about diabetes and driving	22.62066322	22.39618597
407569005	Patient on maximal tolerated therapy for diabetes	46.71699456	22.14002044
412752009	Diabetic foot examination declined	19.38816618	17.69704564
185760009	Diabetes monitor.phone invite	18.1425387	17.66211398
268517006	Injection sites - diabetic	16.52714219	17.25624133
394672002	On examination - Right diabetic foot at high risk	18.52764378	17.2262999
394676004	On examination - Left diabetic foot at high risk	18.44244354	17.11152444
11687002	Gestational diabetes mellitus (disorder)	14.42780832	16.81044678
736284000	Diabetes clinical management plan	15.7807881	15.62443366
204061000000100	Diabetic with adequate control (finding)	21.81978098	15.10711237
